Company Name,Company Name2,Email,Phone,Status,DBA,License,Type,License Number,Address
Kentucky BioScience International  LLC,Hemp,c.keluche@kel-sie.com tamiodell@gmail.com,7192321402 9142825782,Pending,KENTUCKY BIOSCIENCE INTERNATIONAL ECOFIBRE KENTUCKY LLC,,Hemp Retailer (Delivery)  Hemp Distributor  Hemp Retailer (Online)  Cannabis Retailer (Delivery)  Cannabis Retailer (Online),CBDEFIENCE,KelSie Biotech Inc 16194 W 45th Dr  Unit C Golden  CO 80403 Kentucky Heritage Hemp Company  LLC Pulaski  VA 24301 Kentucky Industrial Hemp
P_1784,Full Circle Industry,,,Hemp,,,Hemp Retailer (Delivery)  Hemp Distributor  Hemp Retailer (Online)  Packaging and Labels,Betrics,
Hemp Retailer (Online)  Hemp Cultivator  Hemp Distributor  Hemp Brand,Moodz,,,Pending,,,Hemp Retailer (Delivery)  Cannabis Brand  Broker Dealers  Cannabis Distributor  Cannabis Manufacturer  Cannabis Retailer (Delivery)  Hemp Brand  Facility Supplies & Machinery  Hemp Cultivator  Seed Banks / Genetics  Manufacturing Goods  Hemp Retailer (Storefront)  Cultivation Goods  Glassware  Packaging and Labels,Appalachian Herb and Spice,
Hemp Retailer (Delivery)  Hemp Distributor  Hemp Retailer (Online)  Cannabis Retailer (Delivery)  Cannabis Retailer (Online),CBDEFIENCE,,,Hemp,,,Hemp Retailer (Delivery)  Hemp Retailer (Online)  Manufacturing Goods  Seed Banks / Genetics  Hemp Manufacturer  Hemp Distributor  Hemp Cultivator  Hemp Brand,N/A,
Betrics,Betrics store,,,Hemp,,,Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Distributor,World Of Hemp NC,
Hemp Retailer (Delivery)  Cannabis Brand  Broker Dealers  Cannabis Distributor  Cannabis Manufacturer  Cannabis Retailer (Delivery)  Hemp Brand  Facility Supplies & Machinery  Hemp Cultivator  Seed Banks / Genetics  Manufacturing Goods  Hemp Retailer (Storefront)  Cultivation Goods  Glassware  Packaging and Labels,Appalachian Herb and Spice,,,Hemp,,,Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Retailer (Storefront)  Hemp Distributor,Manná,
Hemp Retailer (Delivery)  Hemp Retailer (Online)  Manufacturing Goods  Seed Banks / Genetics  Hemp Manufacturer  Hemp Distributor  Hemp Cultivator  Hemp Brand,N/A,,,Hemp,,,Hemp Retailer (Delivery)  Hemp Retailer (Storefront)  Hemp Retailer (Online)  Hemp Distributor,Clear Scientific,
Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Distributor,World Of Hemp NC,,,Pending,,,Hemp Retailer (Storefront)  Medical Professionals  Hemp Distributor,Smokeshop,
Endless Entertainment,Paidayproduction,,,Hemp,,,Hemp Retailer (Storefront)  Cannabis Retailer (Storefront)  Glassware,Vibe throttle,
Hemp Retailer (Delivery)  Hemp Cultivator  Cultivation Goods  Hemp Distributor  Manufacturing Goods,Ocean Chemist Pharmacy + Apothecary,,,Pending,,,Hemp Retailer (Storefront)  Cannabis Retailer (Storefront)  Cannabis Cultivator  Cannabis Brand  Hemp Brand  Social Networks  Cannabis Retailer (Online)  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Distributor  Hemp Cultivator  Cannabis Distributor  Cannabis Retailer (Delivery)  Sales Management Services  Medical Professionals  Legal,1563,
Hemp Retailer (Storefront)  Cannabis Retailer (Storefront)  Glassware,Vibe throttle,,,Hemp,,,Hemp Retailer (Storefront)  Seed Banks / Genetics  Hemp Distributor  Hemp Brand,Right Direction CBD,
Hemp Retailer (Storefront)  Cannabis Retailer (Storefront)  Cannabis Brand  Cannabis Distributor  Cannabis Manufacturer  Cannabis Retailer (Delivery)  Cannabis Retailer (Online)  Hemp Retailer (Delivery)  Hemp Manufacturer  Hemp Distributor  Hemp Cultivator  Hemp Brand  Hemp Retailer (Online)  Cannabis Cultivator  Cultivation Goods,GREEN VALLEY,,,Pending,,,Hemp Retailer (Storefront)  Glassware  Cannabis Retailer (Storefront)  Cannabis Brand  Cannabis Distributor,The Indigo Way,
Hemp Retailer (Storefront)  Cannabis Retailer (Storefront)  Cannabis Cultivator  Cannabis Brand  Hemp Brand  Social Networks  Cannabis Retailer (Online)  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Distributor  Hemp Cultivator  Cannabis Distributor  Cannabis Retailer (Delivery)  Sales Management Services  Medical Professionals  Legal,1563,,,Pending,,,Hemp Retailer (Storefront)  Glassware  Hemp Distributor  Manufacturing Goods  Facility Supplies & Machinery  Hemp Cultivator  Hemp Brand  Hemp Manufacturer  Cultivation Goods  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Packaging and Labels  Seed Banks / Genetics,TPN CIGARS,
Hemp Retailer (Storefront)  Glassware  Cannabis Retailer (Storefront)  Cannabis Brand  Cannabis Distributor,The Indigo Way,,,Hemp,,,Hemp Retailer (Storefront)  Manufacturing Goods,Dope Vitamins,
Hemp Retailer (Storefront)  Glassware  Cultivation Goods  Cannabis Brand,BDT,,,Hemp,,,Hemp Retailer (Storefront)  Hemp Distributor  Cannabis Retailer (Storefront),Flower Power,
Hemp Retailer (Storefront)  Manufacturing Goods,cb-one,,,Pending,,,Hemp Retailer (Storefront)  Hemp Distributor  Cannabis Distributor,33 CBD Supply,
Wesley richesson,Wjpr carts and treats,,,Hemp,,,Hemp Retailer (Storefront)  Hemp Distributor  Hemp Brand  Hemp Cultivator  Hemp Retailer (Online)  Hemp Manufacturer  Packaging and Labels,Newborn Party Store L.L.C,
Hemp Retailer (Storefront)  Hemp Distributor  Cannabis Retailer (Storefront),Flower Power,,,Hemp,,,Hemp Retailer (Storefront)  Hemp Retailer (Online)  Hemp Distributor,The Garden of Herb,
33 Supply  llc,Hemp,INFO@1937APOTHECARY.COM admin@33supply.net,5127998710 9186498023,Hemp,33 CBD SUPPLY WAY MAKER LABS,,Hemp Retailer (Storefront)  Hemp Brand  Hemp Cultivator  Hemp Retailer (Online)  Hemp Distributor,0035B4  74719,1937 APOTHECARY LLC 906 E 5th St  105 Austin  TX 78702 3MAEC  LLC. 2801 Old Greenwood Ste 11 Fort Smith  AR 72903
Hemp Retailer (Storefront)  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Brand  Hemp Manufacturer  Hemp Distributor,395965  395949  396307  396739  396748  398271  390520  390542  390570  390632  390656  390861  391438  391949  392018  392106  392320  394470  395948  199224  199005  687,,,Pending,,,Hemp Retailer (Storefront)  Hemp Manufacturer  Hemp Distributor,129  1685,
Hemp Retailer (Storefront)  Hemp Brand  Hemp Cultivator  Hemp Retailer (Online)  Hemp Distributor,0035B4  74719,,,Hemp,,,Hemp Brand  Hemp Distributor  Hemp Manufacturer  Hemp Cultivator,IHC,
rut cbd co,Rmr distribution inc,,,Pending,,,Hemp Brand  Hemp Distributor  Hemp Manufacturer,AG-R1067370IHH,
Day One Organics,Day One Organics  LLC,,,Hemp,,,Hemp Brand  Hemp Distributor  Hemp Manufacturer,0039W3  36-MFP20-0000491,
THE HEMP COLLECT,Pending,,,Hemp,,,Hemp Brand  Hemp Distributor  Hemp Manufacturer,Soflo Farms,
Sonex Labs LLC,Hemp,,,Hemp,,,Hemp Brand  Hemp Distributor  Hemp Manufacturer,The Canna co CBD Division; Frostys; Dr.FunnysHoney; Pet Vet; DrCanney; Standard Oil Extracts,
Canary Crew,Canary Crew S.L,,,Hemp,,,Hemp Brand  Hemp Distributor  Hemp Cultivator  Hemp Manufacturer  Hemp Retailer (Online),Delta Jane,
503-317-1312  AG-R1047876IHH,Origin 1,,,Hemp,,,Hemp Brand  Hemp Distributor  Hemp Cultivator,EndoMed,
Hemp Brand  Hemp Distributor  Hemp Cultivator  Hemp Manufacturer  Hemp Retailer (Online),Kauai Island Hemp,,,Pending,,,Hemp Brand  Hemp Distributor,Holistabull,
Hemp Brand  Hemp Distributor  Hemp Cultivator,EndoMed,,,Hemp,,,Hemp Brand  Hemp Distributor,KRUSH,
Hemp Brand  Hemp Distributor,Holistabull,,,Hemp,,,Hemp Brand  Hemp Retailer (Online)  Hemp Distributor,HealthSmart CBD,
Hemp Brand  Hemp Retailer (Online)  Hemp Distributor  Hemp Retailer (Delivery)  Hemp Manufacturer,CBD POWER,,,Hemp,,,Hemp Brand  Hemp Retailer (Online)  Hemp Distributor,Cebedia,
Hemp Brand  Hemp Retailer (Online)  Hemp Distributor  Hemp Retailer (Delivery),Florance,,,Hemp,,,Hemp Brand  Hemp Retailer (Online)  Hemp Distributor,Leaf Remedys,
Hemp Brand  Hemp Retailer (Online)  Hemp Distributor,HealthSmart CBD,,,Hemp,,,Hemp Brand  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Cannabis Brand  Cannabis Retailer (Online)  Hemp Distributor,Remedy Extracts,
Hemp Brand  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Distributor,Kwiatostany,,,Hemp,,,Hemp Brand  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Manufacturer  Hemp Cultivator  Hemp Distributor,# 103383  # 103501  75055  22-MFP20-0000576,
Copper Health LLC,Pending,joekilpatrick@me.com admin@coppercbd.co,6784313911 3364022194 9043153780,Hemp,COPPER HEALTH LLC COPPER HEALTH LLC,,Hemp Brand  Hemp Retailer (Online)  Hemp Manufacturer  Hemp Distributor,Clarity hemp products,CONTEXTA MANUFACTURING 1000 San Jacinto Ln Bryan  TX 77803 Continuum Consultant Services  LLC 1852 Banking Street No: 9033 Greensboro  NC 27408 Cornett Enterprises 314 Ribault Street St. Augustine  FL 32080 COSMIC COWBOYS EXTRACTIONS LLC
Remedy Extracts,RF Management LLC,,,Hemp,,,Hemp Brand  Hemp Retailer (Online)  Hemp Cultivator  Hemp Manufacturer  Hemp Distributor,OleyHemp,
Hemp Brand  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Manufacturer  Hemp Cultivator  Hemp Distributor,# 103383  # 103501  75055  22-MFP20-0000576,,,Hemp,,,Hemp Brand  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Distributor,Clyde's Hemp Company,
Hemp Brand  Hemp Retailer (Online)  Hemp Cultivator  Hemp Manufacturer  Hemp Distributor,OleyHemp,,,Hemp,,,Hemp Brand  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Retailer (Storefront)  Hemp Distributor,Sonny's Wellness,
Reefined CBD,Garcia Holdings Group LLC,,,Hemp,,,Hemp Brand  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Manufacturer  Hemp Distributor,Broadies Supplements,
Hemp Brand  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Distributor,Clyde's Hemp Company,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Distributor  Manufacturing Goods  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Retailer (Storefront),003FFB,
Bot industries,Clearpoint botanicals llc,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Distributor  Hemp Cultivator  Hemp Retailer (Online),Elite cbd co,
Winterfoxfarms.com,Hemp,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Distributor,Bluegrass State Holdings  LLC,
AG-R1059106IHH  AG-R1059107AHS,Exclusive Hemp,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Distributor,07-MFP19-0001841,
Elite cbd co,Elite Co,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Manufacturing Goods,EEZZME,
Bluegrass State Holdings  LLC,Hemp,info@ascherventure.com info@bluegrassprocessing.com,2819614844 305-450-5399 5623088440,Hemp,BLUEGRASS STATE HOLDINGS  LLC BLUEGRASS STATE HOLDINGS  LLC BLUEGRASS STATE HOLDINGS  LLC BLUEGRASS STATE HOLDINGS  LLC BODE WELLNESS LLC,,Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Distributor  Hemp Retailer (Delivery),CBDISM LLC,BLOSSOMHTX 17350 TX-249  220 3531 Houston  TX 77064 Blue Bird Botanics 330 SW 2nd St Fort Lauderdale  FL 33312 BNCOR LLC 1830 Boston Ave  Suite D Longmont  CO 80501 Bode Wellness LLC
07-MFP19-0001841,BALM,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Distributor  Hemp Retailer (Storefront),154,
Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Manufacturing Goods,EEZZME,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Distributor  Hemp Cultivator,Green Vapor,
Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Distributor  Hemp Retailer (Delivery),CBDISM LLC,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Distributor,Remedy Health Ltd,
Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Distributor  Hemp Retailer (Storefront),154,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Retailer (Storefront)  Hemp Distributor  Hemp Cultivator  Hemp Retailer (Delivery),Happease,
Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Distributor  Hemp Cultivator,Green Vapor,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Distributor,Gramina,
Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Retailer (Storefront)  Hemp Distributor  Hemp Cultivator  Hemp Retailer (Delivery),Happease,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Distributor  Hemp Cultivator,HARK,
Hemp Brand  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Retailer (Storefront)  Hemp Distributor,King of Hemp,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online)  Hemp Retailer (Storefront),American Standard Hemp Co.,
Gramina,Hemp Corporative of Producers and Processors,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online),Swift Extractions,
Hemp Brand  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Distributor  Hemp Cultivator,HARK,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Cultivator  Hemp Distributor,Pura Organix,
Hemp Brand  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online)  Hemp Retailer (Storefront),American Standard Hemp Co.,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Cultivator  Hemp Distributor,11502202  11502022,
Swift Extractions,Hemp,,,Hemp,,,Hemp Brand  Hemp Manufacturer  Hemp Cultivator  Hemp Distributor,CHOICE EXTRACTION INC,
Pura Organix,Pura Organix LTD,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Testing Laboratories  Hemp Manufacturer,42-000208,
Hempsi,Canoo Holdings,k.sustainablewellness@gmail.com Yebo.li@hemprise.com j.randall@hempsi.com,5034687253,Hemp,HEMPSI LIVE OIL CBD HEMPSI LIVE OIL CBD HEMPSI LIVE OIL CBD HEMPSI LIVE OIL CBD HEMPSI LIVE OIL CBD HEMPSI LIVE OIL CBD JAMES WAYMAN,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online)  Consulting,Drew Test2,Hemp Research Group 5610 Crenshaw Rd Richmond  VA 23227 Hemp Rise LLC 8600 E Pleasant Valley Rd Independence  OH 44131 Hemp star limited 437 N. Columbia Blvd. Portland  OR 97217
Hemp Brand  Hemp Manufacturer  Hemp Cultivator  Hemp Distributor,CHOICE EXTRACTION INC,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Manufacturer  Hemp Retailer (Storefront),Willow Top Hemp Farm,
Hemp Brand  Hemp Cultivator  Hemp Distributor  Testing Laboratories  Hemp Manufacturer,42-000208,,,Ancillary,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online)  Hemp Retailer (Delivery),REDEEMER SMALL BATCH,
Golden Hour Farms  LLC,Hemp,pankalarry25@gmail.com kyle@goldenhourhemp.com,9413006774 7277436594,Hemp,GOLDEN HOUR HEMP GOLDEN HOUR HEMP GOLDEN HOUR HEMP GOLDEN HOUR HEMP MBF HEMP LABS LLC,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online)  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Storefront),989,God’s Green Earth and Wellness 4912 babbling brook lane Wimauma  FL 33598 Go Farm Hemp NV Good Garden Extracts LLC Waldo  FL 32694
Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Manufacturer  Hemp Retailer (Storefront),Willow Top Hemp Farm,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online)  Hemp Manufacturer,50_2021_00000061  1102019040103504073,
REDEEMER SMALL BATCH,Hemp,,,Pending,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online),The Galleria,
Central Processors Inc,Pending,celebrityshempagri@gmail.com i.deleon@dih.bg sales@centralprocessors.com,609-501-9425,Hemp,CENTRAL PROCESSORS INC CENTRAL PROCESSORS INC CHAE INTERNATIONAL,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Retailer (Storefront),Green's App,Celebrity's Hemp Agriculture 1600 Pondview Dr Winchester  VA 22601 CellSo Sofia  Sofia City Province Chae Manufacturing 2413 Leaphart Road West Columbia  SC 29169
Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Online)  Hemp Manufacturer,19-007,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Storefront)  Hemp Retailer (Online)  Hemp Manufacturer,# 103554  23-MFP21-0000070,
Cultivator,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Delivery)  Hemp Manufacturer  Hemp Retailer (Storefront)  Hemp Retailer (Online)  Cannabis Cultivator,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Retailer (Storefront),Mednow,
CNNR LLC,Hemp,brian@cloninghemp.com cannanature@yahoo.com,9784204367 7192487724,Hemp,CANNA NATURE CANNA NATURE,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Security Services & Transportation,Medd Rd Farm Corp,Cloning Hemp LLC. 5141 N Goodes Mill Rd Washington  MO 63090 Coastal Pacific LLC 311 Illinois St PO 520 Penrose  CO 81240
# 103554  23-MFP21-0000070,Indigo Ridge Hemp,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Packaging and Labels,# 103748,
Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Security Services & Transportation,Medd Rd Farm Corp,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Retailer (Storefront),Cannabreeze,
Botanical Biotech  LLC,Hemp,BOOMTOWNSUPPLY@GMAIL.COM bobby@botanicalbiotech.com,9705805078,Hemp,BOTANICAL BIOTECH  LLC L7 LABS,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Retailer (Storefront),GETHempd,BOOMTOWN VAPOR LLC 1520 S Major Dr  h Beaumont  TX 77707 Botani-Labs LLC 106 Juniper Dr Sterling  CO 80751 Botanix Equities LLC
Maryland Cannabis Connection,MD Hemp LLC,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Retailer (Delivery),Field of Dreams Hemp Co,
Cannabreeze,CannaBreeze  LLC,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Retailer (Delivery),Lanco Premium Hemp,
GETHempd,GETHEMPD,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Retailer (Storefront),42-000761,
Field of Dreams Hemp Co,Field of Dreams Hemp Co.,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Retailer (Storefront),13559,
Lanco Premium Hemp,Keystone Hemp Growers LLC,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online),Taos Family Farms,
Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online)  Hemp Retailer (Storefront),42-000761,,,Hemp,,,Manufacturer,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online),
Taos Family Farms,Hemp,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online),Green Rock Hemp Holdings  LLC,
CDPH-T00001748,Panacea Life Sciences,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online),emmergincbd,
31-MFP19-0000645  002GFM,Exclusive Hemp Farms,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Delivery)  Consulting  Tourism & Travel  Manufacturing Goods,Hemp health,
Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Online),emmergincbd,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Manufacturing Goods  Packaging and Labels  Seed Banks / Genetics  Hemp Retailer (Storefront)  Cannabis Retailer (Online)  Cannabis Retailer (Delivery)  Cannabis Manufacturer  Cannabis Cultivator  Cannabis Brand  Cultivation Goods  Cannabis Distributor,0839314,
South southwest trading llc,Hemp,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Retailer (Storefront),Sulcanna,
TEXAS BUDS,Hemp,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Retailer (Storefront),Remedy Health,
0839314,SunMed,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Retailer (Storefront),Hempboy Products LLC,
Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Online)  Hemp Retailer (Storefront),PURITY 420 INC,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Online),102326  # 103573,
STR8W8 Cannabis,D8 Organics LLC,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Online),1302019051634556388  50_2021_00000246,
Functional Remedies LLC,Hemp,t.campbell@functionalremedies.com,7202700488,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer,UNPSI/Therajoy,GARBENS GARDENS LLC 35751 Dameron Rd Pueblo  CO 81006
Blessed Land LLC,Hemp,consultric@aol.com,6192513323 908-419-7597,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer,Kauai Island Hemp,Black Rhino International  Inc. 225 W 2nd St Pueblo  CO 81003 BLUEBONNET DSD IRVING INC Benson  VT Blue Circle Farms LLC
Therajoy,UNPSI,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer,High Society Hemp,
UNPSI/Therajoy,Unified Natural Product Solutions Inc,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer,Hempsi Live Oil CBD,
Kauai Island Hemp,Kauai Island Hemp  LLC,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer,Hemp Force 1,
High Society Hemp,High Society Hemp & CBD LLC,,,Hemp,,,Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer,CA Hemp Co.,
Hemp Brand  Hemp Cultivator  Hemp Distributor  Hemp Manufacturer,Hempsi Live Oil CBD,,,Hemp,,,Hemp Distributor,190023,
Page 19 of 37,RonniB's Sweetz LLC,,,Hemp,,,Hemp Distributor,Orenda Logistics,
Puckett Greenhouses,Hemp,,,Hemp,,,Hemp Distributor,Natural Aid Distributors LLC,
Old Dirt Road Farms  LLC,Hemp,,,Hemp,,,Hemp Distributor,Morning Moon Gardens & Landscaping  LLC,
Obiso Company  LLC d/b/a Avila Herbals,Hemp,,,Hemp,,,Hemp Distributor,Kyle Thom,
Northern Virginia hemp Company L.L.C,Hemp,,,Hemp,,,Hemp Distributor,Jolly Hemp Products  LLC,
Natural Aid Distributors LLC,Hemp,,,Hemp,,,Hemp Distributor,Innovative Hemp of Virginia LLC,
Morning Moon Gardens & Landscaping  LLC,Hemp,,,Hemp,,,Hemp Distributor,H & S Farms  LLC.,
Kyle Thom,Hemp,kyle@rootsdowncommunityfarm.com,,Hemp,,,Hemp Distributor,H&K Farm,KY 2020 Hemp Processor 0026 LA Hemp Distributor 0001 WI
Jolly Hemp Products  LLC,Hemp,JOHNNYNELSON59@GMAIL.COM chris@crestarhealth.com,5092899351,Hemp,,,Hemp Distributor,Hemp Seed Barn,JOHNNY FARMS LLC 5045 Adams Rd N Quincy  WA 98848 J&P Agribusiness LLC 1130 Tabb St Norfolk  VA 23504
Innovative Hemp of Virginia LLC,Hemp,steve@infinitybrandsinc.com info@infinitywholesalegroup.com fwinnegan@yahoo.com,954-674-8719,Hemp,APPOLO FARMS,,Hemp Distributor,Helltown Hemp,Infinity 6364 Ferris Square San Diego  CA 92121 Infinity Wholesale Group Inc 5021 S State Rd 7 Davie  FL 33314 Integrous Group  Inc. 2534 Falkirk Dr Richmond  VA 23236 Interconnected Industries LLC
H & S Farms  LLC.,Hemp,coha8419@colorado.edu,,Hemp,,,Hemp Distributor,Heartland Hemp,HTO Kentucky 1418 Bolton St Baltimore  MD 21217
H&K Farm,Hemp,henry36@hotmail.com,8302267330 7202193521,Hemp,,,Hemp Distributor,Hazey Hills LLC,HILL COUNTRY PHARM HAUS  LLC 1754 FM2673 Canyon Lake  TX 78133 Hillside Extraction Solutions 5655 N Peterson Rd Sedalia  CO 80135 HODA HEMP LLC 503 Persimmon Tree Fork Rd Farmville  VA 23901
Hemp Seed Barn,Hemp,Rdmbuss@email.cz info@hempower.com jasuk@hempconsultinggroup.com,480-980-4436,Hemp,,,Hemp Distributor,Groundworks Garden & Hydroponic Supply Co,Paškova Ostrava  Moravskoslezský kraj 717 00 Hempower Farms LLC AZ HEMP SOLUTIONS  LLC WI
Helltown Hemp,Hemp,hedgpethr@yahoo.com helltownhemp@gmail.com,541-621-3073,Hemp,,,Hemp Distributor,Green Zenith  LLC,HEDGPETH FARMS LLC 813 Ulrich Rd Prospect  OR 97536 Hemp Biotech  Inc. 524 N Royal Ave  44 Front Royal  VA 22630
